name,price,brand,prod_url,img_url
Capita Defenders Of Awesome 154 2021,"479,95",Capita,/de-DE/product/Capita-Defenders+Of+Awesome+154+2021+Snowboard-618456/,//images.blue-tomato.com/is/image/bluetomato/304300175_front.jpg-tL3iwjD8s4Y6NriChhCzEtXdM3o/Capita+Defenders+Of+Awesome+154+2021+Snowboard.jpg?$b1$
Burton Step On 2021,"279,95",Burton,/de-DE/product/Burton-Step+On+2020+Snowboardbindung-567090/,//images.blue-tomato.com/is/image/bluetomato/303922457_front.jpg-CRN2lAZQIQD0z2Mcc3z4opc12GY/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$
Ride Lasso 2021,"319,95",Ride,/de-DE/product/Ride-Lasso+2021+Snowboardboots-624690/,//images.blue-tomato.com/is/image/bluetomato/304358461_front.jpg-BRoeclzO8cz80kuXq78i9MNkt30/Ride+Lasso+2021+Snowboardboots.jpg?$b1$
Capita Defenders Of Awesome 158 2021,"479,95",Capita,/de-DE/product/Capita-Defenders+Of+Awesome+158+2021+Snowboard-618458/,//images.blue-tomato.com/is/image/bluetomato/304300177_front.jpg-iyv8ZBIzWLbGS7x8RPXgRDlopoo/Capita+Defenders+Of+Awesome+158+2021+Snowboard.jpg?$b1$
Burton Step On X 2021,"399,95",Burton,/de-DE/product/Burton-Step+On+X+2021+Snowboardbindung-622753/,//images.blue-tomato.com/is/image/bluetomato/304342305_front.jpg-yuWEEDNHco-15NrM1esLXk8knLs/Burton+Step+On+X+2021+Snowboardbindung.jpg?$b1$
Nitro Team TLS 2021,"399,95",Nitro,/de-DE/product/Nitro-Team+TLS+2021+Snowboardboots-620651/,//images.blue-tomato.com/is/image/bluetomato/304320841_front.jpg-L4Usk0TjBvohd4mXl-1aVsk8fWs/Nitro+Team+TLS+2021+Snowboardboots.jpg?$b1$
Burton Step On 2021,"279,95",Burton,/de-DE/product/Burton-Step+On+2020+Snowboardbindung-567090/?colid=gray,//images.blue-tomato.com/is/image/bluetomato/304380881_front.jpg-QQq6Wv2kBVLZS_QD73BkIUf1_CM/Burton+Photon+Step+On+2021.jpg?$b1$
Anon Greta 3 Helmet,"79,95",Anon,/de-DE/product/Anon-Greta+3+Helm-626081/,//images.blue-tomato.com/is/image/bluetomato/304380869_front.jpg-eR2EHUS5hZ180xUlV2X2DHYSCMY/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$
Nidecker Play 152 2021 Snowboard,"249,95",Nidecker,/de-DE/product/Nidecker-Play+152+Snowboard+2021-629413/,//images.blue-tomato.com/is/image/bluetomato/304272300_front.jpg-1WSjbOaV1ZURr7MskOtbsCaLVjo/DEELUXE+Team+ID+LTD+PF+2021+Snowboardboots.jpg?$b1$
Burton Space 166cm Snowboard Bag,"54,95",Burton,/de-DE/product/Burton-Space+166cm+Snowboard+Tasche-476938/,//images.blue-tomato.com/is/image/bluetomato/304363599_front.jpg-_qcGOSp9AWfxHSWfbMJI-Tmuubk/Anon+Greta+3+Helm.jpg?$b1$
Union Force 2021,"249,95",Union,/de-DE/product/Union-Force+2021+Snowboardbindung-618606/?colid=black,//images.blue-tomato.com/is/image/bluetomato/303513820_front.jpg-qaxMA2uhmLOyP343FhxEOUwbot0/Burton+Moto+Snowboard+Boots.jpg?$b1$
Lib Tech Travis Rice Orca 159 2021,"649,95",Lib Tech,/de-DE/product/Lib+Tech-Travis+Rice+Orca+159+2021+Snowboard-628804/,//images.blue-tomato.com/is/image/bluetomato/304375522_front.jpg-Y7LGK2C3yMvD_hm1S8hUZoMA4lQ/Nidecker+Play+152+Snowboard+2021.jpg?$b1$
Burton Photon Step On 2021,"409,95",Burton,/de-DE/product/Burton-Photon+Step+On+2021-567091/?colid=gray,//images.blue-tomato.com/is/image/bluetomato/304264956_front.jpg-aldVurR7AY_DADJDFH8TyM-gpug/DC+Phase+2021+Snowboardboots.jpg?$b1$
Jones Snowboards Mountain Twin 168W 2021 Snowboard,"499,95",Jones Snowboards,/de-DE/product/Jones+Snowboards-Mountain+Twin+168W+Snowboard+2021-629178/,//images.blue-tomato.com/is/image/bluetomato/303168781_front.jpg-tFddjRyOCbU8RpluS-sMEc65uFI/Burton+Space+166cm+Snowboard+Tasche.jpg?$b1$
DEELUXE Team ID LTD. PF 2021,"289,95",DEELUXE,/de-DE/product/DEELUXE-Team+ID+LTD+PF+2021+Snowboardboots-615588/,//images.blue-tomato.com/is/image/bluetomato/304358382_front.jpg-yF5RJxU2KQoQFUSFD89tiP9Sm10/Ride+Lasso+Pro+2021+Snowboardboots.jpg?$b1$
Burton Photon BOA Snowboard Boots,"359,95",Burton,/de-DE/product/Burton-Photon+BOA+Snowboard+Boots-567043/,//images.blue-tomato.com/is/image/bluetomato/304300372_front.jpg-LYL3F6DHwGPdwkXa6xnzDj4MitM/Union+Force+2021+Snowboardbindung.jpg?$b1$
